article_id,headline,corpus_batch,SMI_score,SMI_label,human_label
v18_1501,সাত খুন মামলায় ২৬ জনের মৃত্যুদণ্ড,corpus_expansion_5000,0.20334752141661244,0,1
v18_2586,সাংবাদিকদের ওপর হামলার প্রতিবাদ,corpus_expansion_5000,0.46183656018518604,1,1
v18_2653,বান্দরবানে দুগ্রুপের গোলাগুলিতে নিহত ৫,corpus_expansion_5000,0.23111527620721362,0,1
v18_1055,ধর্ষণের চেষ্টার অভিযোগ,corpus_expansion_5000,0.19932341078274549,0,1
v18_0705,'যেন হায়েনার কবল থেকে মুক্তি পেয়েছি',v17_reused,0.349458394756692,0,0
v18_0106,কার্যালয়ের সামনে পুলিশ পালিয়ে বেড়াচ্ছে বিএনপি,new_mid_w0_p0,0.13437677201892637,0,0
v18_0589,হোম কোয়ারেন্টাইনে রাজনীতিবিদরা,v17_reused,0.5584658435610207,1,0
v18_2468,ঢাবি প্রক্টরিয়াল টিমের ওপর হামলা শাহবাগ থানায় আটক ৬ জনকে জিজ্ঞাসাবাদ চলছে,corpus_expansion_5000,0.19000580961738978,0,1
v18_2413,"দল পাননি আরাফাত, সোহাগ!",corpus_expansion_5000,0.8090716126538653,1,1
v18_1600,গ্রেফতারের পর ‘বন্দুকযুদ্ধে’ ২ যুবক নিহত,corpus_expansion_5000,0.16079228470839807,0,1
v18_2464,‘উল্লেখযোগ্য তথ্য’ পাওয়ার দাবি,corpus_expansion_5000,0.09099110451834116,0,1
v18_0228,সিলেট মহানগর আওয়ামী লীগের সভা বুধবার,new_high_w1_pany,0.9366046028778382,1,1
v18_0915,আবরার হত্যাকান্ড,corpus_expansion_5000,0.11413304045868496,0,1
v18_0794,বরিশালে শিশু চলচ্চিত্র উৎসব শুরু,new_mid_w1_p1,0.4764406798654476,1,1
v18_3021,ডাক্তার-নার্সদের বেতন পরিশোধের নির্দেশ,corpus_expansion_5000,0.19000580961738978,0,0
v18_3543,মস্কোয় বাংলাদেশি মালিকানার নতুন রেস্টুরেন্ট,corpus_expansion_5000,0.15705158331615046,0,0
v18_1073,‘হত্যা ষড়যন্ত্রের’ তদন্ত চাইলেন আসমা জাহাঙ্গীর,corpus_expansion_5000,0.21245743999478328,0,1
v18_3351,শেরপুরের কৃষকের নতুন জাতের ধান উদ্ভাবন,corpus_expansion_5000,0.16210584725600014,0,0
v18_1744,‘বসন্ত এসে গেছে...’,corpus_expansion_5000,0.7184514764722852,1,1
v18_1084,ধর্ষণের ভিডিও ছড়ানোর অভিযোগে গ্রেপ্তার ২,corpus_expansion_5000,0.3939591787208005,0,1
v18_0926,"ইয়াঙ্গুনে বিস্ফোরণ, নিহত ১৭",corpus_expansion_5000,0.0945363922261271,0,1
