article_id,weak_supervision_label,preliminary_model_label,centroid_cosine_similarity,cosine_similarity_band,weak_vs_model_confusion_cell,llm_majority_label,llm_voting_protocol,llm_per_voter_breakdown
v18_1501,0,1,0.5597928762435913,mid_low,no_error,0.0,no_vote,no_vote
v18_2586,0,1,0.6599142551422119,mid_high,no_error,0.0,no_vote,no_vote
v18_2653,0,1,0.5734783411026001,mid_low,no_error,0.0,no_vote,no_vote
v18_1055,0,1,0.6649754047393799,mid_high,no_error,0.0,no_vote,no_vote
v18_0705,1,1,0.6972,mid,TN,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-20b/OpenAI-OSS=0|gq-gpt-oss-120b/OpenAI-OSS=0|gq-qwen3-32b/Alibaba=0|ms-ministral-8b/Mistral=0|ms-nemo/Mistral=0|cb-llama3.1-8b/Meta=1|ms-small-latest/Mistra
v18_0106,0,0,0.5038,mid,TP,0.0,no_vote,no_vote
v18_0589,1,0,0.6918,mid,FP,0.0,org_diverse_0,gq-llama-4-scout-17b-16e/Meta=0|gq-gpt-oss-120b/OpenAI-OSS=0|or-gpt-oss-120b/OpenAI-OSS=0|gq-llama4-scout/Meta=0|cb-llama3.1-8b/Meta=0|ms-ministral-8b/Mistral=0|ms-small-latest/Mistral=0
v18_2468,0,1,0.5984377861022949,mid_low,no_error,0.0,no_vote,no_vote
v18_2413,0,1,0.5235989689826965,low_mid,no_error,0.0,no_vote,no_vote
v18_1600,0,1,0.6415029764175415,mid,no_error,0.0,no_vote,no_vote
v18_2464,0,1,0.567986011505127,mid_low,no_error,0.0,no_vote,no_vote
v18_0228,1,1,0.7237,high,TN,0.0,no_vote,no_vote
v18_0915,1,1,0.7157498598098755,high,no_error,0.0,no_vote,no_vote
v18_0794,1,1,0.6923,mid,TN,0.0,no_vote,no_vote
v18_3021,0,0,0.1846814453601837,extreme_low,no_error,0.0,no_vote,no_vote
v18_3543,0,0,0.4480516612529754,low,no_error,0.0,no_vote,no_vote
v18_1073,0,1,0.6626790761947632,mid_high,no_error,0.0,no_vote,no_vote
v18_3351,0,0,0.4159277081489563,low,no_error,0.0,no_vote,no_vote
v18_1744,0,1,0.5595510601997375,mid_low,no_error,0.0,no_vote,no_vote
v18_1084,0,1,0.6600741744041443,mid_high,no_error,0.0,no_vote,no_vote
v18_0926,0,1,0.6562017202377319,mid_high,no_error,0.0,no_vote,no_vote
v18_3049,0,0,0.3296704888343811,extreme_low,no_error,0.0,no_vote,no_vote
v18_1117,0,1,0.6538058519363403,mid_high,no_error,0.0,no_vote,no_vote
v18_0642,1,1,0.7656,high,TN,0.0,no_vote,no_vote
v18_4767,0,0,0.579439640045166,mid_low,no_error,0.0,no_vote,no_vote
v18_0501,1,1,0.7038,high,TN,0.0,no_vote,no_vote
v18_4066,0,0,0.5472263097763062,low_mid,no_error,0.0,no_vote,no_vote
v18_0333,0,0,0.5035,mid,TP,0.0,no_vote,no_vote
v18_4684,0,0,0.413325548171997,low,no_error,0.0,no_vote,no_vote
v18_0486,1,1,0.6937,mid,TN,0.0,no_vote,no_vote
v18_1962,0,1,0.6191293001174927,mid,no_error,0.0,no_vote,no_vote
v18_0393,0,0,0.5056,mid,TP,0.0,no_vote,no_vote
v18_4842,0,0,0.5277629494667053,low_mid,no_error,0.0,no_vote,no_vote
v18_4866,0,0,0.4843595623970032,low,no_error,0.0,no_vote,no_vote
v18_1755,0,1,0.5824919939041138,mid_low,no_error,0.0,no_vote,no_vote
v18_2515,0,1,0.614133894443512,mid,no_error,0.0,no_vote,no_vote
v18_3585,0,0,0.4372903704643249,low,no_error,0.0,no_vote,no_vote
v18_4315,0,0,0.5250781774520874,low_mid,no_error,0.0,no_vote,no_vote
v18_4966,0,0,0.5358998775482178,low_mid,no_error,0.0,no_vote,no_vote
v18_2099,0,1,0.5531933307647705,mid_low,no_error,0.0,no_vote,no_vote
v18_3599,0,0,0.4838143587112427,low,no_error,0.0,no_vote,no_vote
v18_4121,0,0,0.5321054458618164,low_mid,no_error,0.0,no_vote,no_vote
v18_0029,1,1,0.8079,high,TN,0.0,no_vote,no_vote
v18_0065,1,0,0.692,mid,FP,0.0,no_vote,no_vote
v18_0838,0,1,0.6660680174827576,mid_high,no_error,0.0,no_vote,no_vote
v18_3906,0,0,0.3999255299568176,extreme_low,no_error,0.0,no_vote,no_vote
v18_3773,0,0,0.4964599311351776,low,no_error,0.0,no_vote,no_vote
v18_4635,0,0,0.5318140983581543,low_mid,no_error,0.0,no_vote,no_vote
v18_3161,0,0,0.3583575785160064,extreme_low,no_error,0.0,no_vote,no_vote
v18_2659,0,1,0.6452398300170898,mid,no_error,0.0,no_vote,no_vote
v18_4615,0,0,0.5310521721839905,low_mid,no_error,0.0,no_vote,no_vote
