Model,F1,Type,Notes
"BanglaBERT Large (NB1, 5-fold CV)",0.8831,Fine-tuned Transformer,fine-tuned ELECTRA-large (BanglaBERT)
"SMI Logistic Regression (NB8, 5-fold CV)",0.8090,Rule-based Annotation Algorithm,Same as the LR row below (sanity check)
Linear SVM (on 8 SMI features),0.8305±0.0432,Lightweight Classifier (8 features),C1–C8 only; this notebook
Random Forest (on 8 SMI features),0.8223±0.0245,Lightweight Classifier (8 features),C1–C8 only; this notebook
XGBoost (on 8 SMI features),0.8176±0.0242,Lightweight Classifier (8 features),C1–C8 only; this notebook
Logistic Regression (on 8 SMI features),0.8091±0.0630,Lightweight Classifier (8 features),C1–C8 only; this notebook
KNN (on 8 SMI features),0.8070±0.0336,Lightweight Classifier (8 features),C1–C8 only; this notebook
Decision Tree (on 8 SMI features),0.8040±0.0428,Lightweight Classifier (8 features),C1–C8 only; this notebook
Naive Bayes (on 8 SMI features),0.7982±0.0495,Lightweight Classifier (8 features),C1–C8 only; this notebook
"Qwen2.5-7B-Instruct (QLoRA, single seed=42)",0.0750,QLoRA Fine-tuned,"QLoRA fine-tuned, full-text input"
"Qwen2.5-7B-Instruct (QLoRA, multi-seed n=3)",0.0504±0.0003,QLoRA Fine-tuned (multi-seed),"QLoRA fine-tuned, full-text input"
Gemma-2-2B-it (QLoRA),0.0506,QLoRA Fine-tuned,"QLoRA fine-tuned, full-text input"
Phi-3-mini-4k (QLoRA),0.0506,QLoRA Fine-tuned,"QLoRA fine-tuned, full-text input"
Llama-3.1-8B-Instruct (QLoRA),0.0506,QLoRA Fine-tuned,"QLoRA fine-tuned, full-text input"
Gemma-2-9B-it (QLoRA),0.0506,QLoRA Fine-tuned,"QLoRA fine-tuned, full-text input"
Qwen2.5-3B-Instruct (QLoRA),0.0500,QLoRA Fine-tuned,"QLoRA fine-tuned, full-text input"
